NAME;BARCODE;TAXGROUP;NAME1;NAME2
(не використовувати) Сардельки св.;;Б;Архів;ТМ
"(не використовувати)Hапій ""Капучіно Якобс"" ліс.гор 12.5г*10/";4823001414135;Б;02.Кава;ТМ Якобс
"(не використовувати)Hапій ""Капучіно Якобс"" оригінал 12.5г*10";4823001414074;Б;02.Кава;ТМ Якобс
(не використовувати)Kleenex серветки лососеві 20*13;;А;01.Паперова продукція;ТМ Клінекс
(не використовувати)Kleenex серветки помаранчеві 20*13;;А;01.Паперова продукція;ТМ Клінекс
(не використовувати)Kleenex серветки темно-зелені 20*13;;А;01.Паперова продукція;ТМ Клінекс
(не використовувати)Kleenex серветки темно-сині 20*13;;А;01.Паперова продукція;ТМ Клінекс
(не використовувати)Ізюм світ ваг./Пекц/;;Б;Архів;ТМ Гранд
(не використовувати)Буженина Ятрань запечена в/с т/у ваг Ятр;210093000000;Б;Архів;ТМ Ятрань
(не використовувати)Вафлі  Артек-Конті  7кг /КК/;210085900000;Б;01.Вагове;ТМ Конті
"(не використовувати)Вафлі ""Кріспікі"" крем-згущ. молоко 3.7кг";210144700000;Б;01.Вагове;ТМ Рошен
"(не використовувати)Вода газована ""Апельсин"" 2л/Премєра/";;Б;Архів;ТМ Біола,Премєра
"(не використовувати)Вода газована ""Байкал"" 2л/Премєра/";;Б;Архів;ТМ Біола,Премєра
"(не використовувати)Грудинка ""До сніданку"" в/к в/у  /Ков ков";210057700000;Б;Архів;ТМ Ковельські ковбаси
(не використовувати)Зельц ваг. /Гермес/;210089000000;Б;Архів;ТМ Гермес
"(не використовувати)Кава ""Нескафе"" 3в1 Крем 20стік*20г/нестл";6917878023496;Б;02.Кава;ТМ Нескафе
"(не використовувати)Кава ""Нескафе"" 3в1 оригінал 20стік*20г/н";6917878019529;Б;02.Кава;ТМ Нескафе
"(не використовувати)Кава ""Нескафе"" 3в1 турбо 20стік*20г/нест";6917878023465;Б;02.Кава;ТМ Нескафе
(не використовувати)Кнедлики \Чекотекс\;;Б;Архів;ТМ
(не використовувати)Ков-са Дрогобич в/у півбатон ваг. /Рос/;210092100000;Б;Архів;ТМ
(не використовувати)Ков-са Рогатинська Докторська марков ваг;210091900000;Б;Архів;ТМ
(не використовувати)Ков-са Рогатинська Шинкова т/у підбатон;210091500000;Б;Архів;ТМ
"(не використовувати)Ковб. ""Салямі мисливська""/Торч. ковб./";210001900000;Б;Архів;ТМ
"(не використовувати)Ковб.""Італійська""в/г с/к /Ков. ковб./";210011600000;Б;Архів;ТМ
"(не використовувати)Ковб.""Брауншвейгська""н/к фабіос  /Тульчи";;Б;Архів;ТМ
"(не використовувати)Ковб.""Вікторія"" в/г с/в /Ков. ковб./";210011500000;Б;Архів;ТМ
"(не використовувати)Ковб.""Волинська"" 2г н/к /Ков. ковб./";210004300000;Б;Архів;ТМ
"(не використовувати)Ковб.""Дрогобицька "" ГОСТ /Торч. ковб./";210001400000;Б;Архів;ТМ
"(не використовувати)Ковб.""Лікарська нова""вар./Ідекс/";210079200000;Б;Архів;ТМ
"(не використовувати)Ковб.""Лакомка"" ваг. /Гермес/";210076300000;Б;Архів;ТМ
"(не використовувати)Ковб.""Любительська нова ""/Торч. ковб./";210043500000;Б;Архів;ТМ
"(не використовувати)Ковб.""Молочна""в синюзі ваг. в/г";210103200000;Б;Архів;ТМ
"(не використовувати)Ковб.""Московська"" в/г в/к /Ков. ковб./";210004700000;Б;Архів;ТМ
